x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,,,,,,,,w3,x,x,x,x,x,x,w1,,,,,,x
x,,,,,,,,,w2,w2,x,w2,w2,w2,,,,,d,,x
x,,,,,,,,,,,x,,,,,,,,,,x
x,,,,,x,,,,,,x,,,,s,,,,,,x
x,,,,,x,,,,,,x,,,,,,,,,,x
x,,,,,x,,,,,,x,,,,,,,,,,x
x,,,s,,x,,,,,,x,,,,,,,,,,x
x,,,,,x,,,,,,x,,,,,,,,,,x
x,,,,,x,,,,,,,,,,,,,,,,x
x,,,,,x,,,,,,,,,,,,,,,w,x
x,,,,,x,,,,,,,,x,,,,,,w3,x,x
x,,,,,x,,,,,,,,x,,,,,,w3,x,x
x,,,,,,,,,,,,,x,,,,x,x,x,x,x
x,,,,,,,,,,,,,x,,,,,,w3,x,x
x,,,,,,,,,,,,,x,,,,,,w3,x,x
x,,,,,,,,,,,,,x,,,,,,,w2,x
x,,,,,,x,,,,,,,x,,,,,,,,x
x,,,,,,x,,,,,,,,,,,s,,,,x
x,,,,,,x,,,,,,,,,,,,,,,x
x,,,,,,x,,,,s,,,,,,,,,,,x
x,,,,,,x,,,,,,,,,,,,,,,x
x,,,,h,,x,w,w,,,,,,,,,,,,w3,x
x,,,,,,x,x,x,w,w,w,w,,,,,,,,w3,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
