x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,w1,w2,w2,w2,w2,w2,w2,w2,w2,w2,,,,x
x,w1,,,,,,,,,,,d,,x
x,w1,,,,x,,,,,,,,,x
x,w1,,,s,x,,,,,,,,,x
x,w1,,,,x,,x,x,x,,,,w3,x
x,w1,,,,x,,,,,,,,w3,x
x,w1,,,,,,,,,,,,w3,x
x,w1,,,,,,,,,,,,w3,x
x,w1,,,x,x,x,,,,,,,w3,x
x,w1,,,,,,,,,,,,w3,x
x,w1,,,,,,,,,,,,w3,x
x,w1,,,,,,,x,,,,,w3,x
x,w1,,,,,,,x,,,,,w3,x
x,w1,,,,,,,x,,,s,,w3,x
x,w1,,,,,,,,,,,,w3,x
x,,,,,x,,,,,,,,w3,x
x,,,,,x,,,,,,,,w3,x
x,,,,,x,,,,,,,,w3,x
x,,h,,,,,,,,,,,w3,x
x,,,,w,w,w,w,w,w,w,w,w,w3,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
