x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,o,o,o
x,w2,w2,w2,w2,w2,w2,w2,w2,w2,w2,w2,w2,w2,x,,,o
x,,,,,,,,,,,,,,x,,,o
x,,,,,,,,,,,,,,x,,,o
x,,,,x,x,x,x,x,x,x,,,,x,,,o
x,,,,,,,,,,,,,,x,,,o
x,,,,,,,,,,,,,,x,,,o
x,,,,,,,,,,,,,,x,,,o
x,,,,,,,,,,x,x,x,x,x,x,x,x
x,,,,x,w1,,,,,,,,w2,w2,w2,w3,x
x,,d,,x,w1,,,,,,,,,,,w3,x
x,,,,x,w1,,,,,w3,x,,,,,w3,x
x,x,x,x,x,w1,S,,h,,w3,x,,,,,w3,x
o,,,,x,w1,,,,,w3,x,,,,,w3,x
o,,,,x,w1,,,,,,,,,,,,x
o,,,,x,w1,,,,,,,,,,,,x
o,,,,x,w1,,,,,,,,,,,,x
o,o,o,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x
